City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
187,New Norfolk,89,AU,overcast clouds,81,-42.78,147.06,54.0,0.0,0,1.01
188,Quelimane,75,MZ,broken clouds,88,-17.88,36.89,66.2,0.0,0,8.05
189,Abu Samrah,13,SY,few clouds,74,35.3,37.18,66.92,0.0,0,16.58
190,Jinka,74,ET,light rain,93,5.65,36.65,61.41,0.61,0,1.14
191,Cranbrook,40,CA,scattered clouds,55,49.5,-115.77,66.2,0.0,0,9.17
192,Andra,100,RU,overcast clouds,60,62.51,65.89,53.56,0.0,0,10.89
193,Rundu,91,NA,overcast clouds,61,-17.93,19.77,44.33,0.0,0,4.43
194,Ironton,1,US,clear sky,94,38.54,-82.68,71.6,0.0,0,1.41
195,Praia Da Vitoria,20,PT,few clouds,82,38.73,-27.07,66.2,0.0,0,10.49
196,Sigiriya,93,LK,overcast clouds,64,7.95,80.74,84.38,0.0,0,13.58
197,Surt,0,LY,clear sky,23,31.21,16.59,86.2,0.0,0,21.45
198,Grand Gaube,81,MU,broken clouds,79,-20.01,57.66,70.0,0.0,0,8.99
199,Hualmay,40,PE,scattered clouds,86,-11.1,-77.61,61.74,0.0,0,8.16
200,Puerto Ayora,68,EC,broken clouds,93,-0.74,-90.35,70.0,0.0,0,1.99
201,Mandalgovi,86,MN,overcast clouds,40,45.76,106.27,75.47,0.0,0,11.86
202,Kieta,17,PG,light rain,68,-6.22,155.63,85.14,0.35,0,4.18
203,Launceston,90,AU,light intensity shower rain,93,-41.45,147.17,50.0,0.64,0,4.7
204,Petropavlovsk-Kamchatskiy,20,RU,few clouds,71,53.05,158.65,51.8,0.0,0,15.66
205,Busayra,3,JO,clear sky,89,30.74,35.61,56.08,0.0,0,5.3
206,Nara,75,JP,broken clouds,60,34.69,135.8,77.0,0.0,0,6.93
207,Bubaque,100,GW,overcast clouds,82,11.28,-15.83,81.63,0.0,0,11.25
208,Hofn,100,IS,overcast clouds,83,64.25,-15.21,51.03,0.0,0,16.98
209,Lorengau,92,PG,moderate rain,72,-2.02,147.27,84.99,1.63,0,5.14
210,Saint Simons,90,US,heavy intensity rain,94,31.14,-81.39,73.4,1.52,0,11.41
211,Wattegama,20,LK,few clouds,79,6.8,81.48,84.2,0.0,0,10.29
